date,GSCPI
1998-01,-1.085512807320722
1998-02,-0.4386003889821478
1998-03,-0.057875288128669836
1998-04,-0.11663068213586406
1998-05,-0.4254084109952109
1998-06,-0.7410835886748788
1998-07,-0.9214137646621268
1998-08,-0.8971733024455019
1998-09,-0.9077531056664602
1998-10,-0.6822018759897925
1998-11,-0.8601728069415449
1998-12,-0.615496020023454
1999-01,-0.2803717448028185
1999-02,0.0031186665812383764
1999-03,-0.2714645265443062
1999-04,-0.2148380451519262
1999-05,-0.350371720042111
1999-06,-0.3637405031370228
1999-07,-0.6137493769983141
1999-08,-0.44625629642018333
1999-09,-0.3819057824056367
1999-10,-0.11582738291975561
1999-11,-0.16064165058114652
1999-12,-0.20310938451464927
2000-01,-0.6113507940291054
2000-02,-0.4158769449673595
2000-03,-0.2786015774743956
2000-04,0.13024816291593225
2000-05,0.28390850502027365
2000-06,0.046868194870063766
2000-07,-0.011345350261021592
2000-08,0.09020169440438423
2000-09,0.04682556958336379
2000-10,-0.5180446466575706
2000-11,-0.7319225147955547
2000-12,-0.9157099261356276
2001-01,-0.9122984417614756
2001-02,-0.7679071154292215
2001-03,-0.5746489131520366
2001-04,-0.9860205853764756
2001-05,-1.1061057485677546
2001-06,-0.684684027121682
2001-07,-0.8203600835097498
2001-08,-0.7739925396837393
2001-09,-0.6660135712499062
2001-10,-1.2032277808063867
2001-11,-1.4237475379323443
2001-12,-1.150052319583626
2002-01,-0.900237810782716
2002-02,-0.4641388193670929
2002-03,-0.4240009204940699
2002-04,-0.5761220325801826
2002-05,-0.3010051785711189
2002-06,-0.6155714642769683
2002-07,-0.9418930322232972
2002-08,-1.074017213146458
2002-09,-1.130303952642503
2002-10,-1.2296857920729802
2002-11,-0.7479557551090633
2002-12,-0.6807680337866474
2003-01,-0.6247439571246867
2003-02,-0.3019337675836726
2003-03,-0.32053447764512505
2003-04,-0.5500538033572628
2003-05,-0.19688598773634428
2003-06,-0.11043147890696262
2003-07,0.006669716146217387
2003-08,-0.0614970240583369
2003-09,0.06565026250786105
2003-10,-0.2649128361288125
2003-11,-0.40838450748673855
2003-12,-0.3601953455223843
2004-01,-0.4948650989947097
2004-02,-0.373907741355959
2004-03,0.0008774192089172441
2004-04,0.41789093514836706
2004-05,0.36886862279818367
2004-06,0.42313758394942114
2004-07,-0.4433195909363937
2004-08,0.07819459534380425
2004-09,-0.012495423152257126
2004-10,-0.609793582790595
2004-11,-0.05820087404728506
2004-12,0.10653724120833956
2005-01,-0.1182096553671526
2005-02,-0.12349475152215526
2005-03,-0.27100197272853693
2005-04,-1.3189456331158753
2005-05,-0.9864306939777269
2005-06,-0.9362915975954645
2005-07,-0.8856694012339734
2005-08,-0.5023128825028369
2005-09,0.08080287520991465
2005-10,-0.07374153114592179
2005-11,-0.6402918557523589
2005-12,-0.7021540273170052
2006-01,-0.3634341516029625
2006-02,-0.7254590973076878
2006-03,-0.3793875976245883
2006-04,0.10642789206431817
2006-05,0.10759003796754338
2006-06,0.1641677552374358
2006-07,-0.09151385572328363
2006-08,0.0687842530424044
2006-09,-0.6364694442739647
2006-10,-0.5160332947019136
2006-11,-0.2305653096905687
2006-12,-0.45973651334380145
2007-01,-0.8731988758697284
2007-02,-0.7128771859107026
2007-03,-0.5887360857286694
2007-04,-0.8258029318205403
2007-05,-0.41464691068044585
2007-06,-0.3734096088671595
2007-07,-0.43459468009607155
2007-08,-0.09882405044968136
2007-09,-0.03387388100372122
2007-10,-0.6067162041670332
2007-11,-0.48148335837142225
2007-12,-0.14413864756865674
2008-01,-0.36968117320396293
2008-02,0.46543662054909357
2008-03,0.15688136542728906
2008-04,0.13227360300692445
2008-05,-0.11732092845678598
