date,dwt_other
1980-01,2436.3333333333335
1980-02,2436.3333333333335
1980-03,2436.3333333333335
1980-04,2436.3333333333335
1980-05,2436.3333333333335
1980-06,2436.3333333333335
1980-07,2436.3333333333335
1980-08,2436.3333333333335
1980-09,2436.3333333333335
1980-10,2436.3333333333335
1980-11,2436.3333333333335
1980-12,2436.3333333333335
1981-01,2557.8333333333335
1981-02,2557.8333333333335
1981-03,2557.8333333333335
1981-04,2557.8333333333335
1981-05,2557.8333333333335
1981-06,2557.8333333333335
1981-07,2557.8333333333335
1981-08,2557.8333333333335
1981-09,2557.8333333333335
1981-10,2557.8333333333335
1981-11,2557.8333333333335
1981-12,2557.8333333333335
1982-01,2764.3333333333335
1982-02,2764.3333333333335
1982-03,2764.3333333333335
1982-04,2764.3333333333335
1982-05,2764.3333333333335
1982-06,2764.3333333333335
1982-07,2764.3333333333335
1982-08,2764.3333333333335
1982-09,2764.3333333333335
1982-10,2764.3333333333335
1982-11,2764.3333333333335
1982-12,2764.3333333333335
1983-01,2976.25
1983-02,2976.25
1983-03,2976.25
1983-04,2976.25
1983-05,2976.25
1983-06,2976.25
1983-07,2976.25
1983-08,2976.25
1983-09,2976.25
1983-10,2976.25
1983-11,2976.25
1983-12,2976.25
1984-01,3183.8333333333335
1984-02,3183.8333333333335
1984-03,3183.8333333333335
1984-04,3183.8333333333335
1984-05,3183.8333333333335
1984-06,3183.8333333333335
1984-07,3183.8333333333335
1984-08,3183.8333333333335
1984-09,3183.8333333333335
1984-10,3183.8333333333335
1984-11,3183.8333333333335
1984-12,3183.8333333333335
1985-01,3258.4166666666665
1985-02,3258.4166666666665
1985-03,3258.4166666666665
1985-04,3258.4166666666665
1985-05,3258.4166666666665
1985-06,3258.4166666666665
1985-07,3258.4166666666665
1985-08,3258.4166666666665
1985-09,3258.4166666666665
1985-10,3258.4166666666665
1985-11,3258.4166666666665
1985-12,3258.4166666666665
1986-01,3765.9166666666665
1986-02,3765.9166666666665
1986-03,3765.9166666666665
1986-04,3765.9166666666665
1986-05,3765.9166666666665
1986-06,3765.9166666666665
1986-07,3765.9166666666665
1986-08,3765.9166666666665
1986-09,3765.9166666666665
1986-10,3765.9166666666665
1986-11,3765.9166666666665
1986-12,3765.9166666666665
1987-01,3893.5833333333335
1987-02,3893.5833333333335
1987-03,3893.5833333333335
1987-04,3893.5833333333335
1987-05,3893.5833333333335
1987-06,3893.5833333333335
1987-07,3893.5833333333335
1987-08,3893.5833333333335
1987-09,3893.5833333333335
1987-10,3893.5833333333335
1987-11,3893.5833333333335
1987-12,3893.5833333333335
1988-01,3989.8333333333335
1988-02,3989.8333333333335
1988-03,3989.8333333333335
1988-04,3989.8333333333335
1988-05,3989.8333333333335
1988-06,3989.8333333333335
1988-07,3989.8333333333335
1988-08,3989.8333333333335
1988-09,3989.8333333333335
1988-10,3989.8333333333335
1988-11,3989.8333333333335
1988-12,3989.8333333333335
1989-01,4050.25
1989-02,4050.25
1989-03,4050.25
1989-04,4050.25
1989-05,4050.25
1989-06,4050.25
1989-07,4050.25
1989-08,4050.25
1989-09,4050.25
1989-10,4050.25
1989-11,4050.25
1989-12,4050.25
1990-01,3980.8333333333335
1990-02,3980.8333333333335
1990-03,3980.8333333333335
1990-04,3980.8333333333335
1990-05,3980.8333333333335
1990-06,3980.8333333333335
1990-07,3980.8333333333335
1990-08,3980.8333333333335
1990-09,3980.8333333333335
1990-10,3980.8333333333335
1990-11,3980.8333333333335
1990-12,3980.8333333333335
1991-01,4226.333333333333
1991-02,4226.333333333333
1991-03,4226.333333333333
1991-04,4226.333333333333
1991-05,4226.333333333333
1991-06,4226.333333333333
1991-07,4226.333333333333
1991-08,4226.333333333333
1991-09,4226.333333333333
1991-10,4226.333333333333
1991-11,4226.333333333333
1991-12,4226.333333333333
1992-01,4369.75
1992-02,4369.75
1992-03,4369.75
1992-04,4369.75
1992-05,4369.75
1992-06,4369.75
1992-07,4369.75
1992-08,4369.75
1992-09,4369.75
1992-10,4369.75
1992-11,4369.75
1992-12,4369.75
1993-01,4485.25
1993-02,4485.25
1993-03,4485.25
1993-04,4485.25
1993-05,4485.25
1993-06,4485.25
1993-07,4485.25
1993-08,4485.25
1993-09,4485.25
1993-10,4485.25
1993-11,4485.25
1993-12,4485.25
1994-01,4615.0
1994-02,4615.0
1994-03,4615.0
1994-04,4615.0
1994-05,4615.0
1994-06,4615.0
1994-07,4615.0
1994-08,4615.0
1994-09,4615.0
1994-10,4615.0
1994-11,4615.0
1994-12,4615.0
1995-01,4642.083333333333
1995-02,4642.083333333333
1995-03,4642.083333333333
