date,GPR
1985-01,102.17337799072266
1985-02,117.10202026367188
1985-03,124.77815246582031
1985-04,87.92900085449219
1985-05,103.26284790039062
1985-06,148.78282165527344
1985-07,133.90542602539062
1985-08,82.78410339355469
1985-09,102.43449401855469
1985-10,105.99191284179688
1985-11,94.84818267822266
1985-12,96.4211654663086
1986-01,135.36074829101562
1986-02,98.75003051757812
1986-03,98.67667388916016
1986-04,148.31385803222656
1986-05,117.38924407958984
1986-06,96.29425048828125
1986-07,94.70178985595703
1986-08,103.34593963623047
1986-09,117.1078872680664
1986-10,96.79243469238281
1986-11,109.77281951904297
1986-12,89.75377655029297
1987-01,96.94281768798828
1987-02,100.683349609375
1987-03,89.60771942138672
1987-04,113.39408111572266
1987-05,98.65091705322266
1987-06,94.18240356445312
1987-07,98.87196350097656
1987-08,99.96844482421875
1987-09,121.16707611083984
1987-10,101.05858612060547
1987-11,96.15348815917969
1987-12,109.85638427734375
1988-01,83.20153045654297
1988-02,86.20614624023438
1988-03,110.20651245117188
1988-04,119.45051574707031
1988-05,104.87347412109375
1988-06,79.70812225341797
1988-07,83.43048095703125
1988-08,84.05416107177734
1988-09,74.84265899658203
1988-10,73.45023345947266
1988-11,68.79841613769531
1988-12,90.39871978759766
1989-01,89.24658966064453
1989-02,91.6185531616211
1989-03,87.73377227783203
1989-04,83.57909393310547
1989-05,103.82850646972656
1989-06,89.46155548095703
1989-07,84.75310516357422
1989-08,109.17729187011719
1989-09,85.54584503173828
1989-10,69.52467346191406
1989-11,92.8287124633789
1989-12,112.55352783203125
1990-01,81.5440444946289
1990-02,77.40721130371094
1990-03,67.5919418334961
1990-04,81.64384460449219
1990-05,86.40711975097656
1990-06,79.68110656738281
1990-07,85.78742980957031
1990-08,250.45108032226562
1990-09,188.66053771972656
1990-10,143.85256958007812
1990-11,158.74354553222656
1990-12,153.1624298095703
1991-01,379.2497863769531
1991-02,339.3580322265625
1991-03,148.61831665039062
1991-04,97.760009765625
1991-05,88.56902313232422
1991-06,87.73383331298828
1991-07,115.18467712402344
1991-08,113.49502563476562
1991-09,117.94219207763672
1991-10,100.8318099975586
1991-11,100.7423324584961
1991-12,103.96953582763672
1992-01,102.95763397216797
1992-02,87.2034683227539
1992-03,85.29731750488281
1992-04,85.85562133789062
1992-05,78.96814727783203
1992-06,93.84909057617188
1992-07,75.19676971435547
1992-08,81.64519500732422
1992-09,74.6097183227539
1992-10,68.18277740478516
1992-11,91.00899505615234
1992-12,83.42096710205078
1993-01,128.91807556152344
1993-02,90.46806335449219
1993-03,94.24144744873047
1993-04,112.72166442871094
1993-05,110.72975158691406
1993-06,104.19525146484375
1993-07,123.31478881835938
1993-08,97.2416763305664
1993-09,89.16477966308594
1993-10,106.16590881347656
1993-11,83.48017883300781
1993-12,79.55179595947266
1994-01,83.48997497558594
1994-02,117.2420654296875
1994-03,93.47403717041016
1994-04,95.35697174072266
1994-05,104.46678924560547
1994-06,120.35224151611328
1994-07,99.6402359008789
1994-08,98.2270278930664
1994-09,98.89848327636719
1994-10,94.85363006591797
1994-11,86.5298080444336
1994-12,96.04750061035156
1995-01,80.15467834472656
1995-02,76.87532806396484
1995-03,82.24444580078125
1995-04,99.19087982177734
1995-05,87.842529296875
1995-06,104.60775756835938
1995-07,107.64541625976562
1995-08,106.93478393554688
1995-09,71.20516967773438
1995-10,67.74150085449219
1995-11,76.33349609375
1995-12,65.67205810546875
1996-01,75.63492584228516
1996-02,80.4209213256836
1996-03,82.14761352539062
1996-04,84.82862091064453
1996-05,65.53082275390625
1996-06,69.08858489990234
1996-07,80.64431762695312
1996-08,81.6876449584961
1996-09,88.19697570800781
1996-10,55.586830139160156
1996-11,57.34461212158203
1996-12,74.98263549804688
1997-01,54.062435150146484
1997-02,50.559940338134766
1997-03,58.48006057739258
1997-04,62.844486236572266
1997-05,53.57601547241211
1997-06,39.045623779296875
1997-07,47.69842529296875
1997-08,48.582298278808594
1997-09,42.6890869140625
1997-10,49.746307373046875
1997-11,59.6933708190918
1997-12,43.998268127441406
1998-01,53.0963020324707
1998-02,77.59761810302734
1998-03,57.24806213378906
1998-04,50.99658203125
1998-05,94.4734878540039
1998-06,76.30907440185547
1998-07,54.04841613769531
1998-08,97.02085876464844
1998-09,62.51344299316406
1998-10,54.403648376464844
1998-11,67.96592712402344
1998-12,75.95989227294922
1999-01,63.98722457885742
1999-02,58.316383361816406
1999-03,83.39727783203125
1999-04,106.19801330566406
1999-05,85.44113159179688
1999-06,79.4105453491211
1999-07,62.14287185668945
1999-08,62.858642578125
1999-09,69.58151245117188
1999-10,72.35348510742188
1999-11,57.9638671875
1999-12,86.0849380493164
2000-01,64.45780944824219
2000-02,63.54172134399414
2000-03,50.101985931396484
2000-04,48.6827392578125
2000-05,79.48287963867188
2000-06,64.71781921386719
2000-07,51.904022216796875
2000-08,46.49225616455078
2000-09,52.689998626708984
2000-10,76.45652770996094
2000-11,45.06056213378906
2000-12,45.39509963989258
2001-01,46.89955520629883
2001-02,55.087711334228516
2001-03,61.708953857421875
2001-04,50.5687370300293
2001-05,60.376861572265625
2001-06,72.06433868408203
2001-07,61.072940826416016
2001-08,64.10773468017578
2001-09,498.64788818359375
2001-10,512.5297241210938
2001-11,306.785888671875
2001-12,236.09974670410156
2002-01,172.47720336914062
2002-02,146.1857147216797
2002-03,151.9763641357422
2002-04,157.49655151367188
2002-05,163.3223114013672
2002-06,149.33042907714844
2002-07,122.7783432006836
2002-08,127.06451416015625
2002-09,174.90333557128906
2002-10,172.03192138671875
2002-11,159.12759399414062
2002-12,175.8117218017578
2003-01,206.43460083007812
2003-02,239.61093139648438
2003-03,358.711181640625
2003-04,255.77517700195312
2003-05,162.1218719482422
2003-06,145.7697296142578
2003-07,134.89891052246094
2003-08,138.23092651367188
2003-09,118.19628143310547
2003-10,108.3173828125
2003-11,118.0866928100586
2003-12,129.46507263183594
2004-01,113.46759033203125
2004-02,115.07597351074219
2004-03,138.53207397460938
2004-04,149.6313934326172
2004-05,121.0911865234375
2004-06,137.23391723632812
2004-07,131.0198516845703
2004-08,140.36582946777344
2004-09,153.87161254882812
2004-10,119.86279296875
2004-11,122.70738983154297
2004-12,109.89522552490234
2005-01,100.88758850097656
2005-02,108.97796630859375
2005-03,90.41048431396484
2005-04,87.03240203857422
2005-05,98.20596313476562
2005-06,81.12405395507812
2005-07,165.90191650390625
2005-08,116.2276611328125
2005-09,103.80766296386719
2005-10,87.06182861328125
2005-11,83.48009490966797
2005-12,95.35025024414062
2006-01,94.51001739501953
2006-02,95.85819244384766
2006-03,92.79762268066406
2006-04,89.01580047607422
2006-05,85.20877838134766
2006-06,102.57276916503906
2006-07,137.13482666015625
2006-08,147.08111572265625
2006-09,111.72425842285156
2006-10,113.13529968261719
2006-11,88.77892303466797
2006-12,90.60655975341797
2007-01,97.9200439453125
2007-02,96.16935729980469
2007-03,87.33650207519531
2007-04,76.6133804321289
2007-05,92.5995864868164
2007-06,97.9723129272461
2007-07,112.34625244140625
2007-08,83.17320251464844
2007-09,94.4888687133789
2007-10,101.47301483154297
2007-11,89.79544830322266
2007-12,94.96749114990234
2008-01,81.49982452392578
2008-02,80.75146484375
2008-03,77.63613891601562
2008-04,71.9048080444336
2008-05,72.57379913330078
2008-06,87.54842376708984
2008-07,89.73957061767578
2008-08,88.55410766601562
2008-09,88.54255676269531
2008-10,64.15979766845703
2008-11,79.08097076416016
2008-12,92.3664321899414
2009-01,85.36947631835938
2009-02,67.45267486572266
2009-03,72.64462280273438
2009-04,85.6884994506836
2009-05,89.68086242675781
2009-06,81.10958862304688
2009-07,83.43962097167969
2009-08,73.37187957763672
2009-09,92.8399887084961
2009-10,90.57640075683594
2009-11,82.10176086425781
2009-12,92.94691467285156
2010-01,91.58102416992188
2010-02,80.72535705566406
2010-03,74.116943359375
2010-04,88.76158142089844
2010-05,88.95870971679688
2010-06,96.45369720458984
2010-07,79.38137817382812
2010-08,80.99386596679688
2010-09,71.16854858398438
2010-10,65.99193572998047
2010-11,94.70516967773438
2010-12,97.20389556884766
2011-01,79.42161560058594
2011-02,90.01448822021484
2011-03,136.8883056640625
2011-04,91.01776885986328
2011-05,105.34491729736328
2011-06,84.391845703125
2011-07,78.92475891113281
2011-08,86.95156860351562
2011-09,83.35044860839844
2011-10,76.33993530273438
2011-11,83.15767669677734
2011-12,85.34132385253906
2012-01,79.63497161865234
2012-02,92.4458236694336
2012-03,88.75997924804688
2012-04,96.01668548583984
2012-05,78.17115783691406
2012-06,77.82243347167969
2012-07,82.80802154541016
2012-08,74.87835693359375
2012-09,69.28050994873047
2012-10,81.66366577148438
