date,dwt_container
1980-01,9403.416666666666
1980-02,9403.416666666666
1980-03,9403.416666666666
1980-04,9403.416666666666
1980-05,9403.416666666666
1980-06,9403.416666666666
1980-07,9403.416666666666
1980-08,9403.416666666666
1980-09,9403.416666666666
1980-10,9403.416666666666
1980-11,9403.416666666666
1980-12,9403.416666666666
1981-01,9569.416666666666
1981-02,9569.416666666666
1981-03,9569.416666666666
1981-04,9569.416666666666
1981-05,9569.416666666666
1981-06,9569.416666666666
1981-07,9569.416666666666
1981-08,9569.416666666666
1981-09,9569.416666666666
1981-10,9569.416666666666
1981-11,9569.416666666666
1981-12,9569.416666666666
1982-01,9441.166666666666
1982-02,9441.166666666666
1982-03,9441.166666666666
1982-04,9441.166666666666
1982-05,9441.166666666666
1982-06,9441.166666666666
1982-07,9441.166666666666
1982-08,9441.166666666666
1982-09,9441.166666666666
1982-10,9441.166666666666
1982-11,9441.166666666666
1982-12,9441.166666666666
1983-01,9439.083333333334
1983-02,9439.083333333334
1983-03,9439.083333333334
1983-04,9439.083333333334
1983-05,9439.083333333334
1983-06,9439.083333333334
1983-07,9439.083333333334
1983-08,9439.083333333334
1983-09,9439.083333333334
1983-10,9439.083333333334
1983-11,9439.083333333334
1983-12,9439.083333333334
1984-01,9321.916666666666
1984-02,9321.916666666666
1984-03,9321.916666666666
1984-04,9321.916666666666
1984-05,9321.916666666666
1984-06,9321.916666666666
1984-07,9321.916666666666
1984-08,9321.916666666666
1984-09,9321.916666666666
1984-10,9321.916666666666
1984-11,9321.916666666666
1984-12,9321.916666666666
1985-01,9025.666666666666
1985-02,9025.666666666666
1985-03,9025.666666666666
1985-04,9025.666666666666
1985-05,9025.666666666666
1985-06,9025.666666666666
1985-07,9025.666666666666
1985-08,9025.666666666666
1985-09,9025.666666666666
1985-10,9025.666666666666
1985-11,9025.666666666666
1985-12,9025.666666666666
1986-01,8660.083333333334
1986-02,8660.083333333334
1986-03,8660.083333333334
1986-04,8660.083333333334
1986-05,8660.083333333334
1986-06,8660.083333333334
1986-07,8660.083333333334
1986-08,8660.083333333334
1986-09,8660.083333333334
1986-10,8660.083333333334
1986-11,8660.083333333334
1986-12,8660.083333333334
1987-01,8351.833333333334
1987-02,8351.833333333334
1987-03,8351.833333333334
1987-04,8351.833333333334
1987-05,8351.833333333334
1987-06,8351.833333333334
1987-07,8351.833333333334
1987-08,8351.833333333334
1987-09,8351.833333333334
1987-10,8351.833333333334
1987-11,8351.833333333334
1987-12,8351.833333333334
1988-01,8092.5
1988-02,8092.5
1988-03,8092.5
1988-04,8092.5
1988-05,8092.5
1988-06,8092.5
1988-07,8092.5
1988-08,8092.5
1988-09,8092.5
1988-10,8092.5
1988-11,8092.5
1988-12,8092.5
1989-01,7816.333333333333
1989-02,7816.333333333333
1989-03,7816.333333333333
1989-04,7816.333333333333
1989-05,7816.333333333333
1989-06,7816.333333333333
1989-07,7816.333333333333
1989-08,7816.333333333333
1989-09,7816.333333333333
1989-10,7816.333333333333
1989-11,7816.333333333333
1989-12,7816.333333333333
1990-01,8371.416666666666
1990-02,8371.416666666666
1990-03,8371.416666666666
1990-04,8371.416666666666
1990-05,8371.416666666666
1990-06,8371.416666666666
1990-07,8371.416666666666
1990-08,8371.416666666666
1990-09,8371.416666666666
1990-10,8371.416666666666
1990-11,8371.416666666666
1990-12,8371.416666666666
1991-01,8509.083333333334
1991-02,8509.083333333334
1991-03,8509.083333333334
1991-04,8509.083333333334
1991-05,8509.083333333334
1991-06,8509.083333333334
1991-07,8509.083333333334
1991-08,8509.083333333334
1991-09,8509.083333333334
1991-10,8509.083333333334
1991-11,8509.083333333334
1991-12,8509.083333333334
1992-01,8577.666666666666
1992-02,8577.666666666666
1992-03,8577.666666666666
1992-04,8577.666666666666
1992-05,8577.666666666666
1992-06,8577.666666666666
1992-07,8577.666666666666
1992-08,8577.666666666666
1992-09,8577.666666666666
1992-10,8577.666666666666
1992-11,8577.666666666666
1992-12,8577.666666666666
1993-01,8682.75
1993-02,8682.75
1993-03,8682.75
1993-04,8682.75
1993-05,8682.75
1993-06,8682.75
1993-07,8682.75
1993-08,8682.75
1993-09,8682.75
1993-10,8682.75
1993-11,8682.75
1993-12,8682.75
1994-01,8848.833333333334
1994-02,8848.833333333334
1994-03,8848.833333333334
1994-04,8848.833333333334
1994-05,8848.833333333334
1994-06,8848.833333333334
1994-07,8848.833333333334
1994-08,8848.833333333334
1994-09,8848.833333333334
1994-10,8848.833333333334
1994-11,8848.833333333334
1994-12,8848.833333333334
1995-01,8625.25
1995-02,8625.25
1995-03,8625.25
1995-04,8625.25
1995-05,8625.25
1995-06,8625.25
1995-07,8625.25
1995-08,8625.25
1995-09,8625.25
1995-10,8625.25
1995-11,8625.25
1995-12,8625.25
1996-01,8587.666666666666
1996-02,8587.666666666666
1996-03,8587.666666666666
1996-04,8587.666666666666
1996-05,8587.666666666666
1996-06,8587.666666666666
1996-07,8587.666666666666
1996-08,8587.666666666666
1996-09,8587.666666666666
1996-10,8587.666666666666
1996-11,8587.666666666666
1996-12,8587.666666666666
1997-01,8629.666666666666
1997-02,8629.666666666666
1997-03,8629.666666666666
1997-04,8629.666666666666
1997-05,8629.666666666666
1997-06,8629.666666666666
1997-07,8629.666666666666
1997-08,8629.666666666666
1997-09,8629.666666666666
1997-10,8629.666666666666
1997-11,8629.666666666666
1997-12,8629.666666666666
1998-01,8546.916666666666
1998-02,8546.916666666666
1998-03,8546.916666666666
1998-04,8546.916666666666
1998-05,8546.916666666666
1998-06,8546.916666666666
1998-07,8546.916666666666
1998-08,8546.916666666666
1998-09,8546.916666666666
1998-10,8546.916666666666
1998-11,8546.916666666666
1998-12,8546.916666666666
