date,환율
2015-01,1088.1299999999999
2015-02,1101.4605263157894
2015-03,1112.9004545454545
2015-04,1084.6709090909092
2015-05,1092.6365
2015-06,1112.8831818181818
2015-07,1146.546818181818
2015-08,1178.1438095238095
2015-09,1184.33
2015-10,1143.1990476190476
2015-11,1153.472105263158
2015-12,1169.9463636363637
2016-01,1203.3178947368422
2016-02,1216.2285
2016-03,1181.5730434782608
2016-04,1145.7966666666666
2016-05,1173.790476190476
2016-06,1165.2022727272727
2016-07,1140.865
2016-08,1110.0182608695652
2016-09,1108.3638095238096
2016-10,1128.166
2016-11,1162.708
2016-12,1183.0700000000002
2017-01,1179.1073684210526
2017-02,1140.4873684210527
2017-03,1133.8617391304347
2017-04,1134.1754999999998
2017-05,1125.135909090909
2017-06,1130.8463636363635
2017-07,1131.7459999999999
2017-08,1130.27
2017-09,1131.599
2017-10,1130.8838095238095
2017-11,1099.7945
2017-12,1082.902
2018-01,1065.6409523809523
2018-02,1078.4747368421054
2018-03,1069.9418181818182
2018-04,1068.0452380952381
2018-05,1076.6595454545454
2018-06,1094.355238095238
2018-07,1122.2028571428573
2018-08,1120.4269565217392
2018-09,1119.8200000000002
2018-10,1131.615
2018-11,1125.345
2018-12,1122.4244444444444
2019-01,1120.33
2019-02,1121.8333333333333
2019-03,1131.6004761904762
2019-04,1142.165
2019-05,1182.9527272727273
2019-06,1173.7845
2019-07,1177.2345454545455
2019-08,1210.3781818181817
2019-09,1194.1145000000001
2019-10,1183.4472727272728
2019-11,1167.298947368421
2019-12,1174.7052380952382
2020-01,1167.462380952381
2020-02,1195.3357894736844
2020-03,1218.1945454545455
2020-04,1223.1309090909092
2020-05,1228.134
2020-06,1206.9459090909093
2020-07,1198.6186363636364
2020-08,1186.8561904761905
2020-09,1176.8619047619047
2020-10,1143.7680952380954
2020-11,1116.097777777778
2020-12,1093.787619047619
2021-01,1098.2366666666667
2021-02,1111.8136842105262
2021-03,1130.2543478260868
2021-04,1117.8554545454544
2021-05,1123.6565
2021-06,1122.6072727272729
2021-07,1146.394761904762
2021-08,1160.9945454545455
2021-09,1172.8190476190478
2021-10,1181.8899999999999
2021-11,1184.06
2021-12,1183.8871428571429
2022-01,1196.0345
2022-02,1199.1226315789474
2022-03,1220.8408695652174
2022-04,1235.1533333333334
2022-05,1268.8080952380953
2022-06,1277.4057142857143
2022-07,1308.0295
2022-08,1319.4121739130435
2022-09,1396.3728571428571
2022-10,1426.065
2022-11,1361.79
2022-12,1293.5628571428572
2023-01,1243.0705
2023-02,1275.4205263157894
2023-03,1306.0160869565218
2023-04,1322.057
2023-05,1327.48
2023-06,1297.2514285714285
2023-07,1282.2835
2023-08,1321.7560869565218
2023-09,1334.2369999999999
2023-10,1351.507142857143
2023-11,1308.154
2023-12,1304.3944999999999
2024-01,1325.911904761905
2024-02,1331.3345
2024-03,1331.675238095238
2024-04,1367.8554545454544
2024-05,1364.7240909090908
2024-06,1379.0526315789473
2024-07,1382.0472727272727
2024-08,1351.4436363636364
2024-09,1330.6985
2024-10,1362.3690909090908
2024-11,1395.02
2024-12,1439.9966666666667
2025-01,1452.1919047619047
2025-02,1444.7931578947369
2025-03,1458.345238095238
2025-04,1439.7777272727274
2025-05,1391.437619047619
2025-06,1364.6775
2025-07,1379.295909090909
2025-08,1388.9990476190476
2025-09,1392.9052380952382
2025-10,1423.0795454545455
2025-11,1459.878888888889
2025-12,1465.355
