Date,dwt_container
1980-01,857.5
1980-02,857.5
1980-03,857.5
1980-04,857.5
1980-05,857.5
1980-06,857.5
1980-07,857.5
1980-08,857.5
1980-09,857.5
1980-10,857.5
1980-11,857.5
1980-12,857.5
1981-01,921.75
1981-02,921.75
1981-03,921.75
1981-04,921.75
1981-05,921.75
1981-06,921.75
1981-07,921.75
1981-08,921.75
1981-09,921.75
1981-10,921.75
1981-11,921.75
1981-12,921.75
1982-01,1009.0
1982-02,1009.0
1982-03,1009.0
1982-04,1009.0
1982-05,1009.0
1982-06,1009.0
1982-07,1009.0
1982-08,1009.0
1982-09,1009.0
1982-10,1009.0
1982-11,1009.0
1982-12,1009.0
1983-01,1067.5
1983-02,1067.5
1983-03,1067.5
1983-04,1067.5
1983-05,1067.5
1983-06,1067.5
1983-07,1067.5
1983-08,1067.5
1983-09,1067.5
1983-10,1067.5
1983-11,1067.5
1983-12,1067.5
1984-01,1174.0833333333333
1984-02,1174.0833333333333
1984-03,1174.0833333333333
1984-04,1174.0833333333333
1984-05,1174.0833333333333
1984-06,1174.0833333333333
1984-07,1174.0833333333333
1984-08,1174.0833333333333
1984-09,1174.0833333333333
1984-10,1174.0833333333333
1984-11,1174.0833333333333
1984-12,1174.0833333333333
1985-01,1438.9166666666667
1985-02,1438.9166666666667
1985-03,1438.9166666666667
1985-04,1438.9166666666667
1985-05,1438.9166666666667
1985-06,1438.9166666666667
1985-07,1438.9166666666667
1985-08,1438.9166666666667
1985-09,1438.9166666666667
1985-10,1438.9166666666667
1985-11,1438.9166666666667
1985-12,1438.9166666666667
1986-01,1561.0833333333333
1986-02,1561.0833333333333
1986-03,1561.0833333333333
1986-04,1561.0833333333333
1986-05,1561.0833333333333
1986-06,1561.0833333333333
1986-07,1561.0833333333333
1986-08,1561.0833333333333
1986-09,1561.0833333333333
1986-10,1561.0833333333333
1986-11,1561.0833333333333
1986-12,1561.0833333333333
1987-01,1681.75
1987-02,1681.75
1987-03,1681.75
1987-04,1681.75
1987-05,1681.75
1987-06,1681.75
1987-07,1681.75
1987-08,1681.75
1987-09,1681.75
1987-10,1681.75
1987-11,1681.75
1987-12,1681.75
1988-01,1790.8333333333333
1988-02,1790.8333333333333
1988-03,1790.8333333333333
1988-04,1790.8333333333333
1988-05,1790.8333333333333
1988-06,1790.8333333333333
1988-07,1790.8333333333333
1988-08,1790.8333333333333
1988-09,1790.8333333333333
1988-10,1790.8333333333333
1988-11,1790.8333333333333
1988-12,1790.8333333333333
1989-01,1857.9166666666667
1989-02,1857.9166666666667
1989-03,1857.9166666666667
1989-04,1857.9166666666667
1989-05,1857.9166666666667
1989-06,1857.9166666666667
1989-07,1857.9166666666667
1989-08,1857.9166666666667
1989-09,1857.9166666666667
1989-10,1857.9166666666667
1989-11,1857.9166666666667
1989-12,1857.9166666666667
1990-01,1862.1666666666667
1990-02,1862.1666666666667
1990-03,1862.1666666666667
1990-04,1862.1666666666667
1990-05,1862.1666666666667
1990-06,1862.1666666666667
1990-07,1862.1666666666667
1990-08,1862.1666666666667
1990-09,1862.1666666666667
1990-10,1862.1666666666667
1990-11,1862.1666666666667
1990-12,1862.1666666666667
1991-01,1967.5833333333333
1991-02,1967.5833333333333
1991-03,1967.5833333333333
1991-04,1967.5833333333333
1991-05,1967.5833333333333
1991-06,1967.5833333333333
1991-07,1967.5833333333333
1991-08,1967.5833333333333
1991-09,1967.5833333333333
1991-10,1967.5833333333333
1991-11,1967.5833333333333
1991-12,1967.5833333333333
1992-01,2271.0
