date,DWT_bulk
1980-01,15156.666666666666
1980-02,15156.666666666666
1980-03,15156.666666666666
1980-04,15156.666666666666
1980-05,15156.666666666666
1980-06,15156.666666666666
1980-07,15156.666666666666
1980-08,15156.666666666666
1980-09,15156.666666666666
1980-10,15156.666666666666
1980-11,15156.666666666666
1980-12,15156.666666666666
1981-01,15375.083333333334
1981-02,15375.083333333334
1981-03,15375.083333333334
1981-04,15375.083333333334
1981-05,15375.083333333334
1981-06,15375.083333333334
1981-07,15375.083333333334
1981-08,15375.083333333334
1981-09,15375.083333333334
1981-10,15375.083333333334
1981-11,15375.083333333334
1981-12,15375.083333333334
1982-01,16101.416666666666
1982-02,16101.416666666666
1982-03,16101.416666666666
1982-04,16101.416666666666
1982-05,16101.416666666666
1982-06,16101.416666666666
1982-07,16101.416666666666
1982-08,16101.416666666666
1982-09,16101.416666666666
1982-10,16101.416666666666
1982-11,16101.416666666666
1982-12,16101.416666666666
1983-01,17052.583333333332
1983-02,17052.583333333332
1983-03,17052.583333333332
1983-04,17052.583333333332
1983-05,17052.583333333332
1983-06,17052.583333333332
1983-07,17052.583333333332
1983-08,17052.583333333332
1983-09,17052.583333333332
1983-10,17052.583333333332
1983-11,17052.583333333332
1983-12,17052.583333333332
1984-01,17742.916666666668
1984-02,17742.916666666668
1984-03,17742.916666666668
1984-04,17742.916666666668
1984-05,17742.916666666668
1984-06,17742.916666666668
1984-07,17742.916666666668
1984-08,17742.916666666668
1984-09,17742.916666666668
1984-10,17742.916666666668
1984-11,17742.916666666668
1984-12,17742.916666666668
1985-01,18209.833333333332
1985-02,18209.833333333332
1985-03,18209.833333333332
1985-04,18209.833333333332
1985-05,18209.833333333332
1985-06,18209.833333333332
1985-07,18209.833333333332
1985-08,18209.833333333332
1985-09,18209.833333333332
1985-10,18209.833333333332
1985-11,18209.833333333332
1985-12,18209.833333333332
1986-01,18962.583333333332
1986-02,18962.583333333332
1986-03,18962.583333333332
1986-04,18962.583333333332
1986-05,18962.583333333332
1986-06,18962.583333333332
1986-07,18962.583333333332
1986-08,18962.583333333332
1986-09,18962.583333333332
1986-10,18962.583333333332
1986-11,18962.583333333332
1986-12,18962.583333333332
1987-01,18913.916666666668
1987-02,18913.916666666668
1987-03,18913.916666666668
1987-04,18913.916666666668
1987-05,18913.916666666668
1987-06,18913.916666666668
1987-07,18913.916666666668
1987-08,18913.916666666668
1987-09,18913.916666666668
1987-10,18913.916666666668
1987-11,18913.916666666668
1987-12,18913.916666666668
1988-01,18638.25
1988-02,18638.25
1988-03,18638.25
1988-04,18638.25
1988-05,18638.25
1988-06,18638.25
1988-07,18638.25
1988-08,18638.25
1988-09,18638.25
1988-10,18638.25
1988-11,18638.25
1988-12,18638.25
1989-01,18536.0
1989-02,18536.0
1989-03,18536.0
1989-04,18536.0
1989-05,18536.0
1989-06,18536.0
1989-07,18536.0
1989-08,18536.0
1989-09,18536.0
1989-10,18536.0
1989-11,18536.0
1989-12,18536.0
1990-01,18634.916666666668
1990-02,18634.916666666668
1990-03,18634.916666666668
1990-04,18634.916666666668
1990-05,18634.916666666668
1990-06,18634.916666666668
1990-07,18634.916666666668
1990-08,18634.916666666668
1990-09,18634.916666666668
1990-10,18634.916666666668
1990-11,18634.916666666668
1990-12,18634.916666666668
1991-01,19169.0
1991-02,19169.0
1991-03,19169.0
1991-04,19169.0
1991-05,19169.0
1991-06,19169.0
1991-07,19169.0
1991-08,19169.0
1991-09,19169.0
1991-10,19169.0
1991-11,19169.0
1991-12,19169.0
